Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
e65e79d8-d30e-4ec1-b15e-aa7c63385dc9,2018-06-06 18:44:29,Running,,12.78,1:07:56,5:19,11.29,901.0,170,143,"","TomTom MySports Watch",2018-06-06-184429.gpx
7f80d0e7-d2b2-455a-99fd-baa10dabc2b7,2018-06-03 17:21:51,Running,,17.58,1:33:29,5:19,11.28,1240.0,235,149,"","TomTom MySports Watch",2018-06-03-172151.gpx
568802c2-29e3-481d-abc6-a504ee825345,2018-05-30 18:48:00,Running,,12.81,1:08:12,5:20,11.27,907.0,172,147,"","TomTom MySports Watch",2018-05-30-184800.gpx
14196951-8a86-40f1-a99b-a966d26bb616,2018-05-27 17:31:09,Running,,21.73,2:03:22,5:41,10.57,1528.0,343,140,"","TomTom MySports Watch",2018-05-27-173109.gpx
75a8e0c9-98f5-4f1c-a72f-31eab419477d,2018-05-23 18:13:17,Running,,15.59,1:20:32,5:10,11.62,1078.0,208,158,"","TomTom MySports Watch",2018-05-23-181317.gpx
5527e00c-758e-411c-87ae-21669adcbc7c,2018-05-21 18:29:35,Running,,12.79,1:07:03,5:15,11.44,899.0,168,144,"","TomTom MySports Watch",2018-05-21-182935.gpx
bfe5cada-e8c9-4e01-8a99-6baa5190d902,2018-05-18 18:38:50,Running,,12.79,1:05:52,5:09,11.66,893.0,168,147,"","TomTom MySports Watch",2018-05-18-183850.gpx
775b794a-fde4-485c-a200-112a5d325a27,2018-05-15 18:56:19,Running,,12.80,1:05:52,5:09,11.66,889.0,167,148,"","TomTom MySports Watch",2018-05-15-185619.gpx
90b07c52-c7e6-4458-a73f-7278beedde39,2018-05-09 18:03:20,Running,,12.76,1:08:31,5:22,11.18,892.0,170,143,"","TomTom MySports Watch",2018-05-09-180320.gpx
daf91acd-00ea-4e13-b49b-11aba2980590,2018-05-05 11:43:10,Running,,15.38,1:30:56,5:55,10.15,1098.0,234,152,"","TomTom MySports Watch",2018-05-05-114310.gpx
f99fd0ac-163d-4752-ba14-28f9f4361a63,2018-05-02 18:22:09,Running,,12.77,1:07:59,5:19,11.27,894.0,174,147,"","TomTom MySports Watch",2018-05-02-182209.gpx
58da30d2-6e3c-44d2-849e-6530743419e4,2018-04-29 16:53:30,Running,,15.00,1:25:03,5:40,10.58,1061.0,245,149,"","TomTom MySports Watch",2018-04-29-165330.gpx
0e04a385-bc28-416d-b173-d37feb3df7c7,2018-04-24 18:17:23,Running,,12.84,1:08:48,5:22,11.20,902.0,171,143,"","TomTom MySports Watch",2018-04-24-181723.gpx
e870e465-ae64-405f-b05f-f3d7737b5347,2018-04-21 18:18:13,Running,,12.70,1:07:12,5:18,11.34,893.0,171,148,"","TomTom MySports Watch",2018-04-21-181813.gpx
f66c27e3-a1c7-45c2-baa4-d2e583522c18,2018-04-18 18:16:49,Running,,12.84,1:06:56,5:13,11.51,901.0,172,146,"","TomTom MySports Watch",2018-04-18-181649.gpx
13b1f4bc-9d04-448b-9b0b-44d340c3b47c,2018-04-15 11:32:26,Running,,12.76,1:07:57,5:20,11.26,892.0,169,154,"","TomTom MySports Watch",2018-04-15-113226.gpx
911b312b-cf1d-499d-bb46-cdeb31da9c9e,2018-04-13 18:37:12,Running,,12.90,1:07:47,5:15,11.42,908.0,169,147,"","TomTom MySports Watch",2018-04-13-183712.gpx
5581c2b2-e254-46f8-99b0-388913baf5cf,2018-04-11 18:17:35,Running,,12.82,1:07:10,5:14,11.45,892.0,173,147,"","TomTom MySports Watch",2018-04-11-181735.gpx
cfddcad3-7551-4944-b218-06b28149ac54,2018-04-08 11:41:49,Running,,16.48,1:31:35,5:33,10.80,1158.0,236,164,"","TomTom MySports Watch",2018-04-08-114149.gpx
eaaf724a-d9fd-4937-8aaa-9e6445aaaad5,2018-04-06 18:01:30,Running,,12.75,1:10:54,5:34,10.79,900.0,170,154,"","TomTom MySports Watch",2018-04-06-180130.gpx
dff3a1e2-ba08-4694-95dd-00acd3f1bf76,2018-04-03 18:43:05,Running,,8.32,46:53,5:38,10.65,582.0,135,143,"","TomTom MySports Watch",2018-04-03-184305.gpx
e92b419b-61ee-45d6-9264-2f47e70f6d85,2018-03-26 18:33:12,Running,,11.82,1:05:28,5:32,10.83,841.0,202,150,"","TomTom MySports Watch",2018-03-26-183312.gpx
98b6e3aa-d64a-4aa1-96e2-4b27cc428ba9,2018-03-21 18:57:05,Running,,6.40,37:41,5:53,10.19,458.0,116,137,"","TomTom MySports Watch",2018-03-21-185705.gpx
a3e837f5-c99e-4ea1-9e51-b8a9b0a2544f,2018-03-18 18:14:45,Running,,10.36,1:00:17,5:49,10.31,738.0,188,147,"","TomTom MySports Watch",2018-03-18-181445.gpx
462e7678-375e-4b97-bef4-95596625b711,2018-03-15 18:31:35,Running,,10.15,58:40,5:47,10.38,719.0,182,149,"","TomTom MySports Watch",2018-03-15-183135.gpx
f37df89c-b59a-406a-a509-3ee09f080aa6,2018-02-19 18:28:16,Running,,10.42,1:00:10,5:46,10.39,742.0,174,143,"","TomTom MySports Watch",2018-02-19-182816.gpx
